"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"11878901000006118","Eosinophilic granulomatosis with polyangiitis","","82275008","CPRD_AURUM"
"300572018","Acute febrile mucocutaneous lymph node syndrome NOS","G751z00","75053002","CPRD_AURUM"
"300596011","Polyarteritis nodosa and allied conditions NOS","G75z.00","155441006","CPRD_AURUM"
"312575016","[X]Other conditions related to polyarteritis nodosa","Nyu4000","155441006","CPRD_AURUM"
"312576015","[X]Other giant cell arteritis","Nyu4100","414341000","CPRD_AURUM"
"2955624019","Granulomatosis with polyangiitis","G754.11","195353004","CPRD_AURUM"
"475138012","Takayasu's disease","G757.00","359789008","CPRD_AURUM"
"297640011","Myopathy due to polyarteritis nodosa","F396300","193249002","CPRD_AURUM"
"47484015","Cerebral arteritis","G674.00","28366008","CPRD_AURUM"
"87208017","Thromboangiitis obliterans","G731.00","52403007","CPRD_AURUM"
"100606014","Hypersensitivity angiitis","G752.00","60555002","CPRD_AURUM"
"1783725016","Necrotising angiitis","G750.11","239933000","CPRD_AURUM"
"6206451000006112","Primary arteritis","","359789008","CPRD_AURUM"
"4762491000006115","Henoch-Schoenlein vasculitis","","191306005","CPRD_AURUM"
"789831000006117","Hypersensitivity arteritis","G752.11","60555002","CPRD_AURUM"
"12726911000006118","Polyarteritis nodosa and allied conditions NOS","","643021000000104","CPRD_AURUM"
